model,N,MAE,RMSE,MedianAE
sig_rv21,1128,0.9538088839615284,1.276358566617014,0.7396041730411778
sig_rv63,1128,1.0933299972853325,1.4563393237900077,0.8413500735921475
sig_garch,1128,1.205442317829246,1.6121262459567205,0.9091177256402576
sig_ewma,1128,1.3715065110119933,1.8628544585628086,0.9748422878180136
