trade_date,expiry,strike,option_type,price,price_sig_rv21,err_sig_rv21,tenor_bucket,mny_bucket,S,T,r_cont,moneyness
2025-10-13,2025-10-21,610.0,call,53.46,53.38719216709467,-0.07280783290533321,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9200048567431082
2025-10-13,2025-10-21,615.0,call,48.56999999999999,48.391338037913556,-0.17866196208643714,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9275458801590353
2025-10-13,2025-10-21,635.0,call,29.134999999999998,28.425481266965562,-0.7095187330344359,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9577099738227438
2025-10-13,2025-10-21,640.0,call,24.619999999999997,23.481304932229364,-1.1386950677706338,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9652509972386709
2025-10-13,2025-10-21,641.0,call,23.63,22.501950076166054,-1.1280499238339452,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9667592019218564
2025-10-13,2025-10-21,642.0,call,22.75,21.527430883592956,-1.222569116407044,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9682674066050417
2025-10-13,2025-10-21,645.0,call,20.235,18.642949657896565,-1.592050342103434,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.972792020654598
2025-10-13,2025-10-21,646.0,call,19.185000000000002,17.69846968985962,-1.486530310140381,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9743002253377835
2025-10-13,2025-10-21,647.0,call,18.34,16.764809106765483,-1.5751908932345167,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9758084300209688
2025-10-13,2025-10-21,648.0,call,17.46,15.843537757534818,-1.6164622424651824,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9773166347041543
2025-10-13,2025-10-21,649.0,call,16.565,14.936334117779438,-1.628665882220563,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9788248393873397
2025-10-13,2025-10-21,650.0,call,15.86,14.044970513360795,-1.8150294866392045,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9803330440705251
2025-10-13,2025-10-21,651.0,call,14.989999999999998,13.171294120764856,-1.818705879235143,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9818412487537106
2025-10-13,2025-10-21,652.0,call,14.135,12.317203904049506,-1.8177960959504933,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.983349453436896
2025-10-13,2025-10-21,653.0,call,13.350000000000001,11.484623837367394,-1.8653761626326073,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9848576581200814
2025-10-13,2025-10-21,654.0,call,12.515,10.675472952778932,-1.8395270472210683,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9863658628032669
2025-10-13,2025-10-21,655.0,call,11.780000000000001,9.891632934245024,-1.8883670657549771,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9878740674864522
2025-10-13,2025-10-21,656.0,call,11.07,9.13491413893388,-1.9350858610661206,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9893822721696377
2025-10-13,2025-10-21,657.0,call,10.33,8.407021055475752,-1.9229789445242478,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.990890476852823
2025-10-13,2025-10-21,658.0,call,9.58,7.7095182959895965,-1.8704817040104036,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9923986815360085
2025-10-13,2025-10-21,659.0,call,8.870000000000001,7.043798257222704,-1.8262017427772967,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.993906886219194
2025-10-13,2025-10-21,660.0,call,8.265,6.411051571333985,-1.8539484286660155,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9954150909023793
2025-10-13,2025-10-21,661.0,call,7.5,5.812241397352409,-1.687758602647591,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9969232955855648
2025-10-13,2025-10-21,662.0,call,6.805,5.248082482195457,-1.5569175178045427,"(7.0, 30.0]","(0.9, 1.0]",663.0399780273438,0.021917808219178082,0.037767734335115676,0.9984315002687503
